"id","percent_dem","total_votes","name","x0001e","x0002e","x0003e","x0005e","x0006e","x0007e","x0008e","x0009e","x0010e","x0011e","x0012e","x0013e","x0014e","x0015e","x0016e","x0017e","x0018e","x0019e","x0020e","x0021e","x0022e","x0023e","x0024e","x0025e","x0026e","x0027e","x0029e","x0030e","x0031e","x0033e","x0034e","x0035e","x0036e","x0037e","x0038e","x0039e","x0040e","x0041e","x0042e","x0043e","x0044e","x0045e","x0046e","x0047e","x0048e","x0049e","x0050e","x0051e","x0052e","x0053e","x0054e","x0055e","x0056e","x0057e","x0058e","x0059e","x0060e","x0061e","x0062e","x0064e","x0065e","x0066e","x0067e","x0068e","x0069e","x0071e","x0072e","x0073e","x0074e","x0075e","x0076e","x0077e","x0078e","x0079e","x0080e","x0081e","x0082e","x0083e","x0084e","x0085e","x0086e","x0087e","x0088e","x0089e","c01_001e","c01_002e","c01_003e","c01_004e","c01_005e","c01_006e","c01_007e","c01_008e","c01_009e","c01_010e","c01_011e","c01_012e","c01_013e","c01_014e","c01_015e","c01_016e","c01_017e","c01_018e","c01_019e","c01_020e","c01_021e","c01_022e","c01_023e","c01_024e","c01_025e","c01_026e","c01_027e","income_per_cap_2016","income_per_cap_2017","income_per_cap_2018","income_per_cap_2019","income_per_cap_2020","gdp_2016","gdp_2017","gdp_2018","gdp_2019","gdp_2020","x2013_code"
611,25.4875061244488,10205,"Elmore County, Idaho",27043,14185,12858,2236,2129,1449,1668,2591,4694,2910,2874,1528,1416,2075,1199,274,31.8,6795,20804,20248,19245,4429,3548,20248,10607,9641,3548,1760,1788,27043,25448,1595,25448,22458,735,595,12,31,19,66,772,0,302,374,37,30,0,29,184,2,167,15,0,704,1595,174,145,420,23,23942,1074,844,1315,242,1337,4696,3566,420,0,710,22347,19474,679,377,748,167,28,874,139,735,12532,18950,9819,9131,3278,587,1394,1227,70,16970,443,1151,4885,4780,2191,2567,953,15376,3520,4694,4415,910,2910,2708,749,5818,5017,1036,3548,3236,825,"35481","34952","35129","37417","39343","1181140","1206016","1275121","1295793","1296261",5
612,54.3253308099693,131042,"York County, Maine",206074,100364,105710,9590,9984,11972,11496,10611,24730,23883,28411,16599,16552,24987,11336,5923,45.3,38650,172029,167424,161195,51684,42246,167424,80263,87161,42246,18786,23460,206074,200804,5270,200804,195085,1872,996,0,0,0,1,2362,431,608,321,48,90,37,827,27,0,16,11,0,462,5270,1351,953,1225,0,200261,3325,2031,3735,170,2002,3689,1474,926,263,1026,202385,192520,1717,976,2336,27,145,4664,1268,3396,111067,164608,78903,85705,15003,1577,5707,5472,2247,152421,2844,6667,45015,31863,16990,31759,17283,142910,49042,24730,23855,8520,23883,22809,8798,61562,58168,18109,42246,38078,13615,"47878","49552","51745","54335","58085","7830638","8035535","8637479","9126850","9333516",3
613,35.3549026081215,30290,"Queen Anne's County, Maryland",50163,24958,25205,2531,2738,3506,2947,2673,5112,5756,7389,4208,3710,5615,2945,1033,44.7,10753,40631,39410,38030,11753,9593,39410,19360,20050,9593,4533,5060,50163,48297,1866,48297,43995,2961,52,13,0,0,0,549,0,185,241,28,95,0,0,13,13,0,0,0,727,1866,588,244,179,6,45798,3648,406,811,46,1450,2065,321,237,151,1356,48098,42850,2932,28,549,0,137,1602,481,1121,21363,38489,18905,19584,3642,342,1319,1349,632,35768,565,1850,10380,7001,2919,7708,5345,33353,13053,5112,4810,1829,5756,5431,2149,15307,14647,5765,9593,8465,3310,"59978","62716","64222","68447","71470","1714335","1879512","1903060","1986648","1904014",2
614,25.9610744732186,18651,"Williams County, Ohio",36760,18202,18558,2139,2131,2546,2347,1997,4439,4327,4381,2819,2716,3776,2243,899,41.4,8369,29332,28391,27259,8527,6918,28391,14025,14366,6918,3069,3849,36760,35859,901,35859,34729,395,86,23,0,0,0,215,0,31,48,14,27,30,65,16,16,0,0,0,418,901,295,126,49,0,35607,805,322,278,18,779,1722,1081,189,8,444,35038,33967,391,72,212,16,11,369,11,358,16652,28100,13872,14228,2791,405,1434,739,213,25600,426,1771,10833,5997,2711,2517,1345,23403,3862,4439,4099,692,4327,4094,795,9916,9232,1559,6918,5978,816,"38683","39457","40834","42545","45983","1730597","1757077","1777127","1921451","1869651",6
615,24.4505652148964,17427,"Washington County, Texas",35275,17130,18145,2031,2000,2342,3086,2227,3187,3654,4136,2172,2870,4071,2244,1255,42,7613,28749,27662,25279,9344,7570,27662,13337,14325,7570,3400,4170,35275,34161,1114,34161,26961,6072,64,0,0,0,0,582,36,9,77,6,35,419,0,0,0,0,0,0,482,1114,142,129,37,0,28067,6222,197,619,0,1288,5752,5128,100,9,515,29523,22361,6038,64,582,0,3,475,167,308,16342,26248,12548,13700,4073,401,1331,2086,255,23589,1358,1585,7314,4889,1817,4302,2324,20646,6626,3187,2916,929,3654,3357,955,9178,7991,2289,7570,6382,2453,"48118","50900","55157","55865","59063","1531375","1539478","1783107","1905319","1932051",5
617,36.5916069600819,7816,"Buffalo County, Wisconsin",13087,6644,6443,710,637,844,716,637,1322,1432,1772,1115,1003,1651,877,371,46.6,2668,10765,10419,10059,3504,2899,10419,5324,5095,2899,1458,1441,13087,12902,185,12902,12631,72,45,0,0,13,0,6,1,0,3,0,0,2,0,0,0,0,0,0,148,185,34,55,73,0,12816,110,102,80,2,168,300,221,15,2,62,12787,12500,72,41,4,0,2,168,6,162,6827,10323,5264,5059,876,164,348,287,77,9543,220,559,3806,1747,1384,1267,560,8764,1827,1322,1254,359,1432,1346,314,3890,3614,624,2899,2550,530,"41774","42966","44973","45734","49202","493179","474438","554415","506252","529126",6
618,42.9179445452838,15977,"Dorchester County, Maryland",31994,14950,17044,1789,1670,2065,1775,1575,3835,3338,4137,2737,2243,3931,2284,615,44.8,6734,26104,25260,24259,8135,6830,25260,11670,13590,6830,3030,3800,31994,30010,1984,30010,20777,8216,12,2,0,4,0,377,87,43,60,10,22,42,113,0,0,0,0,0,628,1984,1054,208,56,248,22229,9563,739,717,12,939,1840,841,270,72,657,30154,20017,8112,12,377,0,5,1631,22,1609,16754,24552,11304,13248,2140,280,823,800,237,23120,801,2205,8873,5095,1551,2693,1902,20114,4595,3835,3401,702,3338,2925,687,9117,7938,1545,6830,5850,1661,"41382","43249","44172","46221","49363","1271496","1310922","1282078","1334815","1370990",5
621,18.7124463519313,3495,"Prairie County, Arkansas",8138,4001,4137,450,404,527,419,425,882,819,1059,651,565,1009,693,235,46,1674,6650,6464,6268,2255,1937,6464,3115,3349,1937,891,1046,8138,7998,140,7998,6988,946,10,0,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,40,140,14,71,12,0,7128,960,81,26,0,83,149,106,43,0,0,7989,6873,946,10,14,0,8,138,41,97,4550,6448,3099,3349,551,45,215,174,117,5913,238,596,2306,1419,452,655,247,5079,902,882,806,250,819,744,138,2275,2029,356,1937,1500,158,"32248","34858","35246","35328","42026","174199","205152","188687","178709","220896",6
622,22.9818053347465,5661,"Breathitt County, Kentucky",12802,6422,6380,842,558,775,651,871,1545,1669,1800,974,965,1393,600,159,42.3,2634,10468,10168,9727,2790,2152,10168,5030,5138,2152,971,1181,12802,12754,48,12754,12456,185,11,7,0,0,0,42,23,19,0,0,0,0,0,0,0,0,0,0,60,48,28,20,0,0,12504,213,31,42,0,60,156,116,0,1,39,12646,12360,185,11,42,0,0,48,0,48,6374,10141,5007,5134,1063,252,338,466,7,9105,756,1297,3513,1417,660,606,856,7052,1462,1545,1261,189,1669,1322,405,3739,2865,443,2152,1604,425,"29697","30830","31251","31692","35222","245800","239589","244302","232501","216024",6
623,48.4750233554982,36394,"Warren County, New York",64187,31599,32588,2829,3239,3396,3328,3354,7759,6872,8826,4757,5508,8476,3900,1943,46.9,11640,54190,52547,50881,17753,14319,52547,25491,27056,14319,6608,7711,64187,62915,1272,62915,61295,695,100,25,0,0,0,553,145,90,82,7,27,75,127,30,0,0,30,0,242,1272,311,296,264,37,62475,1194,525,839,44,481,1720,363,737,40,580,62467,59995,632,96,549,30,96,1069,70,999,40119,51693,24969,26724,4506,612,1107,2125,662,48041,1057,2740,14178,9071,5499,8262,7234,44244,15496,7759,7123,2375,6872,6466,2538,19091,17660,5755,14319,12995,4828,"47462","49942","51177","53919","59267","4163540","4374520","4534952","4832295","4654806",4
625,31.0620389634954,21148,"Monroe County, Illinois",34444,16967,17477,1957,1857,2482,2075,1626,3764,4487,4654,2893,2523,3413,1820,893,42.3,7663,27650,26781,25869,7524,6126,26781,13040,13741,6126,2767,3359,34444,34195,249,34195,33570,91,26,26,0,0,0,379,11,92,47,0,55,104,70,0,0,0,0,0,129,249,25,37,136,0,33819,116,63,515,0,180,550,529,0,0,21,33894,33156,91,26,379,0,44,198,0,198,14333,26693,13019,13674,2334,198,924,1112,100,24447,214,810,6427,5800,2258,5602,3336,23423,8938,3764,3585,2177,4487,4342,1995,10070,9927,3567,6126,5569,1199,"54430","55054","56766","58859","61273","924887","939838","956883","971799","937399",2
626,41.819377878019,21282,"Okanogan County, Washington",42080,21269,20811,2535,2984,2584,2427,2055,4537,4788,4644,2892,3434,5740,2569,891,43,9677,33401,32403,31259,11304,9200,32403,16242,16161,9200,4578,4622,42080,39495,2585,39495,30090,73,4208,27,29,8,67,249,0,18,90,16,82,0,43,43,43,0,0,0,4832,2585,411,1119,197,37,32491,552,5493,647,272,5395,8592,7665,262,0,665,33488,27195,58,4043,249,43,35,1865,100,1765,23338,29408,14617,14791,2908,744,1368,687,109,29495,2177,2368,8743,7555,2684,3825,2143,24950,5968,4537,3781,538,4788,3859,841,10970,9200,2185,9200,8110,2404,"39858","40571","40862","42429","47732","1456507","1517230","1473252","1450924","1561577",6
627,34.1509979751229,34570,"Chisago County, Minnesota",55844,29036,26808,3163,2930,4278,3528,3033,6719,7232,8135,4481,3721,5182,2382,1060,41.3,12724,44832,43120,41286,10609,8624,43120,22302,20818,8624,4178,4446,55844,54499,1345,54499,52788,662,315,9,174,0,3,638,13,154,105,0,54,3,309,14,6,7,0,1,82,1345,319,313,277,0,54133,1087,738,956,47,413,1283,845,122,0,316,54561,51758,662,309,621,14,4,1193,217,976,22174,42728,22151,20577,4208,617,1873,1396,322,38912,386,1407,12880,9702,5881,6362,2294,37119,8656,6719,6465,1452,7232,6895,2064,16337,15802,3471,8624,7957,1669,"45063","46987","48748","51197","54113","1505204","1569530","1654230","1757646","1760758",2
628,35.6521739130435,2070,"Sargent County, North Dakota",3899,2080,1819,213,230,192,170,224,443,461,477,300,296,522,266,105,45.3,758,3208,3141,3089,1074,893,3141,1700,1441,893,454,439,3899,3808,91,3808,3645,121,20,0,0,0,16,4,0,0,4,0,0,0,0,0,0,0,0,0,18,91,0,61,26,0,3736,121,81,30,0,22,124,96,9,2,17,3775,3561,107,12,4,0,0,91,4,87,2154,3099,1675,1424,271,11,137,83,40,2870,56,118,1037,686,440,431,102,2696,533,443,425,151,461,437,52,1073,1031,171,893,803,159,"53819","52840","54684","62204","68049","582483","612028","690330","839433","862595",6
629,39.4227425524516,17254,"Mason County, Michigan",29062,14464,14598,1489,1474,1867,1625,1386,3087,3103,3394,2300,2460,4043,2227,607,46.3,5896,23861,23166,22400,8413,6877,23166,11414,11752,6877,3214,3663,29062,28458,604,28458,27528,284,237,12,35,0,0,181,0,32,25,75,27,6,16,0,0,0,0,0,228,604,70,241,99,0,28073,425,490,285,2,408,1344,1243,35,0,66,27718,26525,284,233,175,0,5,496,79,417,17614,22883,11231,11652,1945,327,688,830,100,21221,525,1294,7505,4586,2636,2842,1833,19402,4675,3087,2752,544,3103,2819,705,8154,7650,1879,6877,6181,1547,"38118","39116","40578","41900","46365","1019761","1036088","1073430","1065213","1028789",5
631,30.9547921373114,38511,"Craighead County, Arkansas",109081,53244,55837,7547,7659,7342,8133,8216,16705,14242,12301,6620,5349,8569,4463,1935,34.4,26962,85132,82119,76678,18073,14967,82119,39196,42923,14967,6325,8642,109081,105150,3931,105150,84686,16601,214,117,0,0,0,1450,206,392,117,13,100,301,321,6,0,0,0,6,2193,3931,1654,631,259,89,88468,18447,1028,1776,12,3381,5604,4786,125,6,687,103477,81539,16525,198,1450,6,365,3394,743,2651,46156,79166,37477,41689,11935,1016,2816,6644,1459,70184,3176,4231,23627,14180,5952,11739,7279,62777,19018,16705,15407,4911,14242,13114,4760,24270,22155,6228,14967,12101,3119,"35912","36556","37172","38810","42024","4294405","4484263","4724182","5039584","5265827",4
633,29.7751324806912,64349,"Douglas County, Oregon",110015,54440,55575,5648,5626,6267,5690,5382,12171,11532,12624,7373,9467,16231,8050,3954,47,21240,91501,88775,85888,34041,28235,88775,43332,45443,28235,13430,14805,110015,104441,5574,104441,100715,601,1437,129,6,0,17,919,76,247,338,78,133,22,25,88,9,0,78,1,681,5574,265,2996,956,0,106193,976,4766,2102,465,1493,6523,4547,407,0,1569,103492,96078,601,1162,919,65,75,4592,333,4259,50649,87778,42793,44985,7373,1121,3626,2337,289,81402,1903,5802,26483,23657,8528,9794,5235,73697,15029,12171,10879,2058,11532,10351,2527,29464,26878,5285,28235,25589,5159,"37601","38749","40534","42488","46948","3503850","3684160","3799500","3923747","4114833",5
634,25.8713907741861,8693,"Cooper County, Missouri",17522,8996,8526,1013,1018,1169,1091,1227,2336,2047,2090,1278,1137,1730,971,415,38.8,3839,14120,13683,13052,3805,3116,13683,7089,6594,3116,1382,1734,17522,16804,718,16804,15528,1024,86,9,0,0,3,71,0,14,32,2,0,12,11,36,36,0,0,0,59,718,291,117,86,19,16227,1357,248,157,36,241,347,196,41,0,110,17175,15401,1002,73,64,36,48,551,27,524,7494,13616,7024,6592,1679,149,633,778,119,12004,379,974,4378,2398,1192,1808,875,10651,2683,2336,1988,421,2047,1822,541,4505,4145,968,3116,2696,753,"35678","37377","38238","39949","44416","444519","462809","474103","472700","470301",6
635,33.9225541150266,35018,"Cattaraugus County, New York",76750,38273,38477,4388,4847,4743,5246,4801,8345,8279,9812,5614,5929,8617,4358,1771,42.5,17059,61632,59691,56388,18475,14746,59691,29427,30264,14746,6868,7878,76750,74868,1882,74868,70260,1147,2462,7,26,0,6,541,190,92,12,40,52,30,125,0,0,0,0,0,458,1882,665,504,236,4,72056,1913,3064,828,18,848,1672,497,828,35,312,75078,69202,1101,2412,541,0,72,1750,272,1478,41681,59242,29216,30026,6966,1044,2793,2758,371,52725,1850,3594,20642,9017,7126,5288,5208,47281,10496,8345,7568,1696,8279,7501,1811,21355,19435,4196,14746,12777,2793,"36291","38405","38743","40704","44629","2994989","2984114","2992678","3126195","2963058",5
636,23.0613738542502,28693,"Washington County, Virginia",54005,26631,27374,2215,2597,3005,3276,2851,5742,6281,7286,3966,4414,7112,4042,1218,46.4,9756,45531,44249,42367,14806,12372,44249,21696,22553,12372,5677,6695,54005,53067,938,53067,51829,736,79,13,0,0,0,297,223,8,20,5,13,0,28,6,6,0,0,0,120,938,280,260,54,17,52732,1050,356,369,50,403,824,416,89,15,304,53181,51419,697,26,296,6,60,677,79,598,25999,43899,21516,22383,4188,346,1686,1768,388,40061,2249,3277,13150,7475,4211,6021,3678,34535,9699,5742,5406,1648,6281,5873,1959,15666,13858,3606,12372,9398,2486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
638,9.22988174214018,3467,"Major County, Oklahoma",7654,3813,3841,492,599,582,494,325,785,903,853,503,579,818,465,256,39.9,1993,5827,5661,5446,1889,1539,5661,2786,2875,1539,708,831,7654,7233,421,7233,6682,19,217,20,0,0,0,76,0,52,20,0,0,0,4,6,6,0,0,0,233,421,36,194,0,0,7103,55,411,76,6,424,765,747,0,0,18,6889,6429,19,110,76,6,18,231,1,230,3685,5455,2668,2787,499,124,218,157,0,5162,260,247,2033,1177,410,730,305,4655,1035,785,728,153,903,856,233,1935,1721,316,1539,1350,333,"37333","39585","43605","42600","43220","255393","275421","320475","319304","246044",6
642,25.4233744511813,19132,"Franklin County, Tennessee",41999,20560,21439,2062,2496,2206,3176,3202,4589,4586,5205,3190,2872,4979,2467,969,42,8414,34624,33585,31278,9990,8415,33585,16352,17233,8415,3915,4500,41999,40786,1213,40786,37980,2083,15,9,0,0,0,183,30,76,4,24,0,19,30,24,0,24,0,0,501,1213,320,451,257,0,39073,2537,468,534,55,601,1465,866,180,0,419,40534,37070,2037,15,183,24,67,1138,84,1054,19508,33028,15997,17031,4728,295,1727,2445,261,28857,1386,2047,12154,5249,2023,3570,2428,25424,5998,4589,4265,859,4586,4187,991,11267,10006,2328,8415,6966,1820,"35999","37297","38598","40494","43348","1113522","1173538","1196552","1225731","1215931",5
643,29.7023626879411,6518,"Cherokee County, Iowa",11281,5673,5608,665,667,737,488,532,1165,1251,1193,869,1022,1333,789,570,45.9,2438,9128,8843,8712,3224,2692,8843,4423,4420,2692,1235,1457,11281,10956,325,10956,10479,344,0,0,0,0,0,125,24,0,0,0,82,19,0,0,0,0,0,0,8,325,66,111,0,0,10797,432,120,162,41,106,94,80,1,2,11,11187,10401,344,0,125,0,0,317,93,224,5734,8829,4419,4410,651,30,119,489,13,8192,249,379,2962,1832,910,1240,620,7564,1860,1165,1146,346,1251,1039,238,3084,2899,611,2692,2480,665,"55048","53888","58142","55059","56063","686737","677304","718529","657491","670042",6
644,48.061764388295,157437,"Lorain County, Ohio",309134,152141,156993,17323,18751,19601,20172,18667,34893,37329,41462,23109,21090,33054,16101,7582,41.9,68027,249761,241107,229355,68718,56737,241107,117240,123867,56737,25084,31653,309134,293512,15622,293512,260049,25104,978,127,0,0,0,3558,1133,1090,288,161,126,248,512,89,89,0,0,0,3734,15622,6586,1269,1226,481,274237,33265,3195,5617,390,8989,31425,5059,21520,500,4346,277709,240439,23309,722,3546,89,363,9241,769,8472,131984,237796,115654,122142,26487,3863,9388,11160,2076,214620,4539,17014,65930,49099,23695,34348,19995,193067,54343,34893,31919,9615,37329,34018,10957,85661,77925,20767,56737,49205,13004,"43214","44692","46251","48387","51518","10340941","10669104","10863286","11401383","11191922",2
645,51.4776687685086,49639,"James City County, Virginia",76032,36489,39543,3571,3852,4781,4517,3812,7092,8702,9613,4912,5902,10807,6359,2112,46.8,15028,62626,61004,58289,22765,19278,61004,28924,32080,19278,8657,10621,76032,72609,3423,72609,60024,9656,26,14,12,0,0,2163,167,463,458,153,340,357,225,12,0,12,0,0,728,3423,1466,72,468,77,63194,11436,222,2874,196,1769,4487,821,1834,165,1667,71545,56879,9524,26,2160,12,411,2533,226,2307,33699,59109,28019,31090,5505,598,1817,2498,592,55499,754,1774,9852,9636,5192,14860,13431,52971,28291,7092,6613,2984,8702,8304,3998,20427,19565,10440,19278,18489,10869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
647,37.6896227681568,29796,"Yuba County, California",77524,39347,38177,6036,6384,5851,4919,5392,12329,9901,8109,4322,4693,6063,2375,1150,33,21355,58062,56169,53489,12110,9588,56169,28303,27866,9588,4466,5122,77524,69963,7561,69963,56990,2632,1030,72,27,4,0,5631,239,367,517,194,27,371,3916,310,76,55,43,136,3370,7561,1033,2211,1024,29,63971,4560,3886,7277,704,5650,22318,19048,736,122,2412,55206,41849,2533,596,5134,296,134,4664,236,4428,28632,52381,26387,25994,7227,616,2521,3732,358,48942,3438,5286,11651,14555,5197,6196,2619,40218,8815,12329,11175,2335,9901,7991,2252,17124,13647,2504,9588,7405,1724,"37731","37932","39530","41443","45806","2993065","3202093","3334464","3524644","3499315",4
648,22.7686263698394,29018,"Lincoln County, Missouri",57590,28829,28761,3910,4401,3717,3942,3255,7653,7421,7569,4337,3579,4743,2227,836,37.4,14652,44932,42938,41084,9938,7806,42938,21201,21737,7806,3602,4204,57590,56173,1417,56173,54294,1321,125,91,0,0,21,160,17,13,108,20,0,2,0,12,0,12,0,0,261,1417,414,367,343,10,55701,1790,557,503,12,499,1459,889,72,164,334,56131,53519,1210,125,88,12,21,1156,46,1110,21821,42769,21089,21680,4573,808,1857,1665,243,38365,817,3019,15569,7951,4123,5193,1693,34529,6886,7653,7159,1794,7421,6864,1417,15485,14083,2563,7806,6423,1112,"38054","39565","40394","42511","45097","1195377","1226060","1253142","1337620","1372122",2
649,26.6812140448324,40328,"Cape Girardeau County, Missouri",78834,38083,40751,4498,5079,4421,5717,8383,9916,8796,8954,5065,4923,7271,3990,1821,36.7,16782,63744,62052,57123,15886,13082,62052,29604,32448,13082,5641,7441,78834,76500,2334,76500,68830,5744,73,0,0,0,0,1392,89,480,160,219,122,82,240,104,84,20,0,0,357,2334,1297,519,161,6,71109,7057,655,1665,191,612,1889,1254,82,66,487,76945,67480,5728,12,1392,104,64,2165,100,2065,34398,60603,28886,31717,11316,691,2329,6983,1313,50736,1195,3072,15992,11482,2825,9850,6320,46469,16170,9916,9484,3414,8796,8294,3606,18942,17323,5818,13082,11368,3332,"41776","42932","43922","43856","46449","3974058","4025298","4175736","4226438","4139397",4
650,40.6858434869991,7961,"Colusa County, California",21491,10993,10498,1556,1633,1681,1623,1277,2869,2658,2421,1351,1280,1742,803,597,35.4,5863,16339,15628,14794,4001,3142,15628,7981,7647,3142,1530,1612,21491,19183,2308,19183,17012,330,239,31,0,0,0,201,26,30,66,0,9,10,60,32,0,0,0,32,1369,2308,78,260,145,27,19226,494,545,454,147,3039,12840,12302,34,0,504,8651,7482,263,149,160,32,53,512,0,512,8153,12658,6312,6346,1907,240,647,997,23,13721,2502,1226,3909,2693,1350,1577,464,9993,2041,2869,2256,382,2658,2079,445,5052,3259,592,3142,2399,622,"41498","41528","46296","45180","55498","1344228","1269463","1512007","1374296","1547116",6
652,19.8461190314551,4419,"Clearwater County, Idaho",8735,4834,3901,357,313,446,468,337,894,990,1072,617,852,1408,756,225,50.8,1423,7467,7312,7125,2773,2389,7312,4058,3254,2389,1254,1135,8735,8483,252,8483,8111,39,198,8,0,0,0,54,11,12,25,0,6,0,0,23,2,7,0,14,58,252,7,99,31,0,8350,53,305,98,63,126,369,213,22,0,134,8366,7860,39,198,54,23,0,192,8,184,4635,7063,4039,3024,498,50,255,164,29,6814,108,446,2349,2110,625,788,388,6260,1176,894,821,114,990,941,130,2541,2384,459,2389,2114,473,"33190","34526","35192","36261","39465","361038","338686","340655","356448","365460",6
653,19.4506104328524,3604,"Kearney County, Nebraska",6588,3266,3322,436,371,584,390,364,734,752,732,437,510,665,325,288,39.1,1669,5072,4919,4769,1599,1278,4919,2420,2499,1278,582,696,6588,6436,152,6436,6325,5,55,0,0,0,1,30,0,28,2,0,0,0,0,0,0,0,0,0,21,152,5,13,17,0,6464,10,69,60,0,138,470,428,0,0,42,6118,6010,5,55,30,0,0,18,0,18,2976,4815,2340,2475,476,38,195,204,39,4443,188,78,1249,1208,546,891,283,4177,1174,734,705,247,752,683,167,1679,1675,493,1278,1114,267,"62663","52526","51641","57267","63956","410347","342377","330739","344016","348850",5
654,32.2590857287578,15794,"Caroline County, Maryland",33260,16312,16948,2018,2439,2037,2207,1837,4142,4175,4101,2585,2241,3172,1609,697,39.3,7850,26340,25410,24206,6784,5478,25410,12373,13037,5478,2500,2978,33260,31979,1281,31979,26076,4589,94,25,0,0,0,170,2,49,17,0,73,0,29,0,0,0,0,0,1050,1281,611,166,231,16,27277,5284,276,444,29,1244,2510,265,142,34,2069,30750,25003,4374,39,170,0,64,1100,39,1061,13645,24228,11868,12360,2688,346,1281,881,180,22722,1166,2410,8914,4273,1652,2583,1724,19146,4307,4142,3551,741,4175,3417,785,8927,7907,1825,5478,4271,956,"42086","44238","44982","46197","48287","1302202","1326305","1292063","1212606","1146006",6
655,49.6393793881885,52271,"Nash County, North Carolina",94287,45118,49169,5230,5776,5843,5848,6221,11145,10820,12739,6928,6510,10559,4320,2348,41.7,20680,76157,73607,70700,20833,17227,73607,34617,38990,17227,7362,9865,94287,92071,2216,92071,48456,38174,583,14,0,0,28,858,307,130,153,40,15,41,172,27,8,0,19,0,3973,2216,744,353,77,244,50062,39526,1321,1041,159,4486,6692,4843,749,30,1070,87595,46380,38088,503,858,27,65,1674,49,1625,43192,71032,33193,37839,8238,1310,2915,3360,653,65369,3158,5753,22188,12805,7623,9570,4272,56458,13842,11145,9791,1987,10820,9647,2805,26177,23079,5558,17227,13941,3492,"38647","39749","41448","44063","46885","6856260","5480315","5115356","5065550","5237072",4
656,21.3023078182116,73316,"Randolph County, North Carolina",143460,70830,72630,8086,8836,9446,9262,8127,16873,16708,20653,11063,8993,15132,7467,2814,41.8,32412,115357,111048,105845,30957,25413,111048,54188,56860,25413,11454,13959,143460,138997,4463,138997,120630,8855,440,79,19,0,0,1763,174,129,256,0,181,366,657,95,12,66,0,17,7214,4463,1454,1092,370,60,124909,10898,1932,2201,99,8479,16739,13729,804,199,2007,126721,112755,8178,329,1761,17,449,3232,63,3169,62670,104918,50908,54010,11345,2340,3942,4537,526,99703,6045,10948,34295,22335,10009,11498,4573,82710,16071,16873,15139,2642,16708,13328,3070,40709,34192,6146,25413,20051,4213,"34633","35883","37445","39292","41954","4060531","4221519","4294436","4410298","4347443",3
657,18.6655037069341,2293,"Lynn County, Texas",5886,3029,2857,390,457,476,381,302,640,809,693,319,430,535,312,142,38.5,1574,4472,4312,4149,1266,989,4312,2209,2103,989,461,528,5886,5208,678,5208,4907,54,18,0,0,0,0,31,23,0,0,5,0,1,2,20,0,4,0,16,178,678,28,55,0,21,5543,116,94,44,28,739,2743,2286,21,0,436,3143,2939,37,4,31,20,0,112,0,112,2661,4174,2141,2033,432,87,198,119,28,3880,359,466,1144,831,275,582,223,3055,805,640,599,180,809,732,254,1442,1056,237,989,668,134,"31349","41265","42767","46708","43995","174271","186753","213945","265367","302456",3
658,70.9953562846596,869347,"Middlesex County, Massachusetts",1605899,786561,819338,85577,86357,90157,101816,112143,248578,211845,215780,111617,96496,139422,69891,36220,38.5,317941,1325629,1287958,1220882,302262,245533,1287958,624152,663806,245533,106422,139111,1605899,1542061,63838,1542061,1208237,84630,3223,263,44,44,46,199161,58428,72372,4344,4110,10991,10134,38782,811,349,280,154,28,45999,63838,15587,3425,19929,652,1265353,106666,9660,224629,2333,66154,129313,11059,35367,3583,79304,1476586,1140148,79412,1901,198354,579,11017,45175,7241,37934,641278,1133114,545425,587689,158109,13788,42142,59769,42410,1129849,36033,35670,209181,137489,66767,317752,326957,1058146,644709,248578,239934,169743,211845,201630,137901,423893,398380,230143,245533,218202,106922,"75246","78141","82173","87174","92013","153147821","158398156","170025114","178693088","180522036",2
659,53.039897105827,546581,"Salt Lake County, Utah",1146215,575454,570761,84758,87502,87051,80097,79900,190120,167824,128929,59121,56341,76435,35182,12955,33,310571,869753,835644,792552,157275,124572,835644,416945,418699,124572,56432,68140,1146215,1092177,54038,1092177,888967,22339,9056,367,60,3136,303,47202,9649,9063,3553,2499,3484,6633,12321,17834,641,382,5072,11739,106779,54038,5346,5774,10994,224,939009,30989,17877,62204,26358,129094,211869,152082,5808,1750,52229,934346,808106,20642,6668,46612,17599,4020,30699,2069,28630,404550,755607,377041,378566,108737,13794,37742,47154,10047,726907,22848,38787,162491,170221,67031,170110,95419,665272,265529,190120,176539,72636,167824,152399,65225,244391,221324,83830,124572,115010,43838,"46994","48504","50971","53472","58028","82813719","87907426","96667230","102542795","104508602",1
660,19.8541329011345,11106,"Grant County, Kentucky",25107,12367,12740,1811,1997,1897,1716,1535,3282,2903,3362,1646,1498,2095,1054,311,36.8,6791,19146,18316,17521,4338,3460,18316,9037,9279,3460,1577,1883,25107,24384,723,24384,23611,149,59,59,0,0,0,53,0,0,0,0,53,0,0,0,0,0,0,0,512,723,141,79,199,0,24334,291,139,253,0,815,724,471,0,44,209,24383,23417,149,59,53,0,7,698,278,420,10276,18295,9037,9258,2165,338,983,753,91,16151,528,1616,7506,3026,1246,1444,785,14007,2229,3282,3016,399,2903,2656,586,6506,5488,902,3460,2847,342,"33916","35251","36234","38185","41934","521713","531721","535911","546414","543665",2
